run,algo,seed,beta,kappa_target,test_reward,test_kl_uniform,rank
0,sft,1,0.4520792007446288,0.2,0.5267665982246399,0.20154449343681335,0
1,espo,2,0.4970881271362304,0.2,0.547886073589325,0.20084722340106964,0
3,dpo,4,1.0192679595947265,0.2,0.5157394409179688,0.1983022391796112,0
4,smsspo,5,0.23599821090698236,0.2,0.574041485786438,0.20206640660762787,0
6,pspo,7,0.48869663238525385,0.2,0.5308358669281006,0.19726136326789856,0
8,sft,9,0.48602661132812497,0.2,0.5616492629051208,0.20124030113220215,0
9,espo,10,0.49823242187499994,0.2,0.5146727561950684,0.19985155761241913,0
11,dpo,12,0.8487680435180665,0.2,0.5330796837806702,0.2030603438615799,0
12,smsspo,13,0.23332818984985348,0.2,0.5805241465568542,0.1998743861913681,0
14,pspo,15,0.4654293060302733,0.2,0.5428963303565979,0.19950245320796967,0
16,sft,17,0.503191032409668,0.2,0.5796205997467041,0.20513927936553955,0
17,espo,18,0.5359941482543944,0.2,0.5649217963218689,0.1979702264070511,0
19,dpo,20,1.0093507385253906,0.2,0.5434763431549072,0.19716069102287292,0
0,dpo,1,0.8392322540283204,0.2,0.5047717690467834,0.20240207016468048,1
1,smsspo,2,0.24686901092529295,0.2,0.5700591206550598,0.20147350430488586,1
3,pspo,4,0.5058610534667969,0.2,0.527847409248352,0.19835717976093292,1
5,sft,6,0.5035724639892578,0.2,0.5699280500411987,0.2011967897415161,1
6,espo,7,0.5346591377258301,0.2,0.5363380908966064,0.19736666977405548,1
8,dpo,9,0.9208586120605466,0.2,0.5422717928886414,0.2011527717113495,1
9,smsspo,10,0.23933573722839352,0.2,0.517339825630188,0.19958992302417755,1
11,pspo,12,0.4089774322509766,0.2,0.5495389699935913,0.20216229557991028,1
13,sft,14,0.4650478744506835,0.2,0.5462726354598999,0.20270206034183502,1
14,espo,15,0.5256954956054687,0.2,0.5516868829727173,0.19974859058856964,1
16,dpo,17,0.9731147384643555,0.2,0.5655952095985413,0.20511195063591003,1
17,smsspo,18,0.24095682144165037,0.2,0.5767815709114075,0.19812491536140442,1
19,pspo,20,0.48068656921386715,0.2,0.5545856356620789,0.197555273771286,1
0,pspo,1,0.4261418533325195,0.2,0.5248093008995056,0.20157499611377716,2
2,sft,3,0.4818308639526367,0.2,0.5428124666213989,0.20105858147144318,2
3,espo,4,0.556591453552246,0.2,0.5351681709289551,0.19860884547233582,2
5,dpo,6,0.9635789489746093,0.2,0.5485639572143555,0.2014809250831604,2
6,smsspo,7,0.2488715267181396,0.2,0.5424530506134033,0.19723020493984222,2
8,pspo,9,0.4312911796569824,0.2,0.5582002401351929,0.20096804201602936,2
10,sft,11,0.4818308639526367,0.2,0.5450296998023987,0.20007513463497162,2
11,espo,12,0.4745836639404296,0.2,0.5602901577949524,0.20224404335021973,2
13,dpo,14,0.8796640014648436,0.2,0.5264944434165955,0.20244289934635162,2
14,smsspo,15,0.24419898986816405,0.2,0.562156617641449,0.20011425018310547,2
16,pspo,17,0.47897012710571285,0.2,0.5795121788978577,0.20509932935237885,2
18,sft,19,0.47038791656494133,0.2,0.5264594554901123,0.19942791759967804,2
19,espo,20,0.5588800430297851,0.2,0.5616742968559265,0.19751302897930145,2
0,espo,1,0.4764908218383789,0.2,0.538426399230957,0.20130722224712372,3
2,dpo,3,1.0070621490478513,0.2,0.525187075138092,0.20064760744571686,3
3,smsspo,4,0.2482040214538574,0.2,0.5422824025154114,0.1986100673675537,3
5,pspo,6,0.4520792007446288,0.2,0.5642411708831787,0.20139411091804504,3
7,sft,8,0.4928923797607421,0.2,0.5509465932846069,0.1989336460828781,3
8,espo,9,0.5035724639892578,0.2,0.5674136281013489,0.20144502818584442,3
10,dpo,11,0.9162814331054685,0.2,0.5243214964866638,0.2004033923149109,3
11,smsspo,12,0.22589027404785156,0.2,0.5732612609863281,0.20172610878944397,3
13,pspo,14,0.42652328491210934,0.2,0.5444087386131287,0.20243187248706818,3
15,sft,16,0.5100568008422852,0.2,0.5669426918029785,0.19879218935966492,3
16,espo,17,0.549344253540039,0.2,0.5877372026443481,0.20512989163398743,3
18,dpo,19,0.905601348876953,0.2,0.5076387524604797,0.1992543339729309,3
19,smsspo,20,0.24734580039978027,0.2,0.5697607398033142,0.19811660051345825,3
0,smsspo,1,0.22684385299682613,0.2,0.5464274287223816,0.20097896456718445,4
2,pspo,3,0.47248579025268544,0.2,0.5361348986625671,0.20071446895599365,4
4,sft,5,0.44712059020996087,0.2,0.5610575079917908,0.20247259736061096,4
5,espo,6,0.4448320007324218,0.2,0.567140519618988,0.20120704174041748,4
7,dpo,8,0.9712075805664062,0.2,0.526634931564331,0.19839635491371155,4
8,smsspo,9,0.22970458984374997,0.2,0.5785254836082458,0.20133987069129944,4
10,pspo,11,0.4581821060180663,0.2,0.543046236038208,0.19990886747837067,4
12,sft,13,0.5096753692626953,0.2,0.5666213035583496,0.20070672035217285,4
13,espo,14,0.5089125061035156,0.2,0.5538588762283325,0.20267421007156372,4
15,dpo,16,0.9567131805419922,0.2,0.5505236387252808,0.1987886279821396,4
16,smsspo,17,0.23981252670288083,0.2,0.5928979516029358,0.20466604828834534,4
18,pspo,19,0.42709543228149416,0.2,0.5289085507392883,0.199422687292099,4
1,sft,2,0.48831520080566404,0.2,0.5483071208000183,0.200893372297287,5
2,espo,3,0.5142525482177734,0.2,0.5404003262519836,0.20075350999832153,5
4,dpo,5,0.8537266540527343,0.2,0.5354952216148376,0.20376861095428467,5
5,smsspo,6,0.2396218109130859,0.2,0.5802404284477234,0.20076796412467957,5
7,pspo,8,0.47572795867919915,0.2,0.5451285243034363,0.1987287998199463,5
9,sft,10,0.4650478744506835,0.2,0.5057038068771362,0.19991937279701233,5
10,espo,11,0.529891242980957,0.2,0.5532169342041016,0.19989342987537384,5
12,dpo,13,0.9384044647216796,0.2,0.5554620623588562,0.20091460645198822,5
13,smsspo,14,0.23123031616210935,0.2,0.5639546513557434,0.20233264565467834,5
15,pspo,16,0.4913666534423828,0.2,0.5669903755187988,0.19913847744464874,5
17,sft,18,0.47725368499755855,0.2,0.5554448962211609,0.1978258192539215,5
18,espo,19,0.47191364288330073,0.2,0.5358155369758606,0.19925245642662048,5
1,dpo,2,0.9849391174316405,0.2,0.5228330492973328,0.20070640742778778,6
2,smsspo,3,0.24458042144775388,0.2,0.5514842867851257,0.20095691084861755,6
4,pspo,5,0.41717821121215826,0.2,0.5571497678756714,0.20275837182998657,6
6,sft,7,0.4986138534545898,0.2,0.5332370400428772,0.19745655357837677,6
7,espo,8,0.5333241271972656,0.2,0.5554962158203125,0.19875003397464752,6
9,dpo,10,0.8941584014892576,0.2,0.4918546676635742,0.20049069821834564,6
10,smsspo,11,0.24000324249267574,0.2,0.5631502866744995,0.19970476627349854,6
12,pspo,13,0.4303376007080078,0.2,0.5665603876113892,0.20071910321712494,6
14,sft,15,0.4864080429077148,0.2,0.5442113876342773,0.19947145879268646,6
15,espo,16,0.5354220008850097,0.2,0.5745499730110168,0.19892479479312897,6
17,dpo,18,0.9456516647338866,0.2,0.5325518846511841,0.19807299971580505,6
18,smsspo,19,0.23733322143554683,0.2,0.5495315194129944,0.1995343565940857,6
1,pspo,2,0.49174808502197265,0.2,0.5428839921951294,0.20099608600139618,7
3,sft,4,0.517685432434082,0.2,0.5309790372848511,0.1985728144645691,7
4,espo,5,0.4864080429077148,0.2,0.5630890130996704,0.2025345265865326,7
6,dpo,7,1.0177422332763668,0.2,0.5187456011772156,0.19744177162647247,7
7,smsspo,8,0.23819144248962398,0.2,0.5695692896842957,0.19856558740139008,7
9,pspo,10,0.43624979019165033,0.2,0.5070586204528809,0.20011234283447266,7
11,sft,12,0.45036275863647457,0.2,0.552069365978241,0.2025337666273117,7
12,espo,13,0.5106289482116699,0.2,0.5726248025894165,0.2007686346769333,7
14,dpo,15,0.9384044647216796,0.2,0.5239901542663574,0.19934038817882538,7
15,smsspo,16,0.2573583793640136,0.2,0.576288104057312,0.1987951546907425,7
17,pspo,18,0.46676431655883777,0.2,0.5521466732025146,0.19802972674369812,7
19,sft,20,0.5146339797973634,0.2,0.5559807419776917,0.19721007347106934,7
